Approved,ID
0.309773850624342,APPA70109647212
0.5488171415124885,APPB10687939341
0.11742602463148688,APPC80449411414
0.060906859005628464,APPD30665094501
0.31100068026851396,APPE80379821637
0.15611999688124253,APPF90611935733
0.43878702271380754,APPG20993415813
0.19952861062308805,APPH30656456927
0.473785541349825,APPI70297912043
0.7162173435223316,APPJ50119937105
0.14600155556879973,APPK30106042233
0.2682173288012111,APPL40962417345
0.061420101753903535,APPM90265624408
0.48888360402684267,APPN80816878501
0.13721280056378002,APPO80036467625
0.6184552995186784,APPP70300016724
0.48008988466362773,APPQ20714935844
0.40977847181393334,APPR10725816917
0.0722937404642404,APPT80995817106
0.313459479201046,APPU10455032232
0.07393355313220369,APPV20523998348
0.10337521932790242,APPW70096327441
0.3335404907410103,APPX50146048546
0.37033747538975587,APPY80200205609
0.7011686724178084,APPZ70268239711
0.47775756228562716,APPB10908859928
0.047230683730186754,APPC60646419006
0.09600156565576153,APPD70986505145
0.045440752591813294,APPE40974536227
0.4061839139210308,APPF80212605331
0.36296867665415267,APPG70118514422
0.03829110092716335,APPH60330147508
0.2967541241189501,APPI70857836611
0.7070433777908959,APPL20333186904
0.23836495571357988,APPM70580221014
0.5760598448383891,APPN30606238135
0.5948422223005878,APPQ60782014415
0.5169316098455738,APPT80140966721
0.042559962948527125,APPU80930365832
0.043245701780168656,APPV80124518928
0.1933684024928976,APPW90476067036
0.4439277536533048,APPX90531514107
0.5443160271956854,APPY80613652222
0.5061871407525588,APPA60775566448
0.5778323602542255,APPC70771774625
0.24098192962071344,APPF80168055929
0.6321213876518926,APPG50757073027
0.16817633349310576,APPH30859115106
0.6404498291125893,APPJ10885387332
0.6216939689497607,APPK40949346408
0.742737389718432,APPL60776142522
0.10114549543387083,APPN50729023734
0.5625642178327313,APPP70407207923
0.8017187732163106,APPR40227782118
0.3714765289732015,APPV80504514517
0.13268893542193289,APPW80566048613
0.32146100048166526,APPX80187469727
0.2498960243169923,APPZ30260508907
0.7143512632713171,APPA50518171015
0.23973735018338263,APPB40882474103
0.5796342599235801,APPC60427976226
0.6934139257963907,APPD90513037337
0.6713789213057919,APPG50800243623
0.3191661629652878,APPH10433332748
0.33005352514940667,APPI40348921805
0.06264723198968118,APPJ80439618906
0.08971523971651116,APPK30634359001
0.7606142607980154,APPL40047305118
0.05521412150983521,APPM70985326241
0.31499645985806735,APPN20760216327
0.3081364885956113,APPO10519239445
0.20553314521660807,APPP70822536506
0.3398443260966963,APPQ10182368643
0.07459408922096614,APPR30764178704
0.20101687287802467,APPS60446465843
0.10480517195153974,APPT20264132924
0.4092719892695056,APPV90184745108
0.08307934563649523,APPX70050373318
0.48008914076734144,APPY80240353432
0.40067606515185505,APPZ80848953507
0.34320320778363284,APPD10500401933
0.4517826899418408,APPE10200701029
0.4254602956542986,APPF90094523116
0.7558502914286093,APPG60519369247
0.1006386737756016,APPH70673564343
0.39072637915962305,APPI10312387415
